OCCUPIED CONVENTIONAL DWELLINGS ENUMERATED OF THE DWELLING  TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED TENURE STATUS AND URBAN/RURAL AREA BY YEAR OF CONSTRUCTION (COMPLETION)  (1.10.2011) ,,,,,,,,,,,,
URBAN/ RURAL AREA,TENURE STATUS,YEAR OF CONSTRUCTION (COMPLETION OF THE DWELLING),TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TYPE OF BUILDING IN WHICH THE DWELLING IS LOCATED,TOTAL NUMBER OF HOUSEHOLDS,TOTAL NUMBER OF PERSONS
TOTAL,Not stated,2011,28,1,1,2,0,20,4,0,28,49
TOTAL,Not stated,Not stated,1.48,560,198,34,16,602,70,0,1.483,3.426
URBAN,Total,Total,204.039,61.709,39.403,12.536,4.923,64.511,20.706,251,207.187,561.49
URBAN,Total,Before 1919,649,309,82,188,36,15,15,4,671,1.399
URBAN,Total,1919-1945,2.043,1.106,267,405,92,56,93,24,2.16,4.562
URBAN,Total,1946-1960,8.832,4.161,1.923,561,756,795,624,12,9.137,19.71
URBAN,Total,1961-1970,13.207,4.84,3.623,237,855,2.229,1.411,12,13.571,31.347
URBAN,Total,1971-1980,35.734,8.947,7.064,4.052,998,9.861,4.8,12,36.523,89.949
URBAN,Total,1981-1990,46.91,12.103,10.97,2.761,857,13.696,6.458,65,47.665,136.642
URBAN,Total,1991-2000,36.106,12.801,8.193,1.757,527,9.7,3.114,14,36.453,117.248
URBAN,Total,2001-2005,22.976,8.575,3.377,1.152,259,8.189,1.352,72,23.112,67.852
URBAN,Total,2006,7.064,1.894,755,448,70,3.507,387,3,7.126,18.832
URBAN,Total,2007,6.33,1.591,663,208,74,3.357,431,6,6.36,15.805
URBAN,Total,2008,7.308,1.515,600,224,92,4.309,564,4,7.343,17.682
URBAN,Total,2009,6.519,1.327,627,167,84,3.809,500,5,6.557,15.262
URBAN,Total,2010,4.2,947,420,175,80,2.242,330,6,4.227,9.826
URBAN,Total,2011,2.337,671,264,86,31,1.14,135,10,2.349,5.759
URBAN,Total,Not stated,3.824,922,575,115,112,1.606,492,2,3.933,9.615
URBAN,Owner occupied,Total,136.659,50.183,31.51,7.561,1.675,36.172,9.515,43,136.813,401.054
URBAN,Owner occupied,Before 1919,358,201,52,67,18,9,10,1,359,796
URBAN,Owner occupied,1919-1945,1.05,684,141,140,31,17,33,4,1.054,2.236
URBAN,Owner occupied,1946-1960,4.908,2.815,1.211,167,239,334,140,2,4.916,10.539
URBAN,Owner occupied,1961-1970,8.276,3.565,2.58,125,300,1.185,521,0,8.292,19.262
URBAN,Owner occupied,1971-1980,22.691,6.28,5.414,2.793,421,5.666,2.113,4,22.717,58.12
URBAN,Owner occupied,1981-1990,31.931,9.692,9.035,1.423,305,8.226,3.249,1,31.976,98.473
URBAN,Owner occupied,1991-2000,27.969,11.614,7.194,1.299,175,5.941,1.741,5,27.996,96.699
URBAN,Owner occupied,2001-2005,16.678,7.811,2.906,775,69,4.48,623,14,16.693,53.652
URBAN,Owner occupied,2006,4.568,1.716,625,175,21,1.87,159,2,4.571,13.345
URBAN,Owner occupied,2007,4.224,1.461,573,148,15,1.84,184,3,4.225,11.635
URBAN,Owner occupied,2008,4.635,1.383,501,156,23,2.336,234,2,4.638,12.262
URBAN,Owner occupied,2009,4.128,1.2,518,83,18,2.081,227,1,4.13,10.442
URBAN,Owner occupied,2010,2.814,869,360,123,18,1.304,140,0,2.814,7.095
URBAN,Owner occupied,2011,1.575,627,230,63,8,593,50,4,1.575,4.178
URBAN,Owner occupied,Not stated,854,265,170,24,14,290,91,0,857,2.32
URBAN,Rented,Total,44.732,4.616,4.838,1.637,1.343,22.624,9.593,81,47.347,109.875
URBAN,Rented,Before 1919,132,56,16,44,8,4,4,0,150,332
URBAN,Rented,1919-1945,517,231,76,97,38,34,37,4,626,1.325
URBAN,Rented,1946-1960,2.334,660,378,163,322,354,452,5,2.617,6.011
URBAN,Rented,1961-1970,3.33,660,650,66,315,839,794,6,3.648,8.828
URBAN,Rented,1971-1980,7.688,738,1.112,252,262,2.992,2.328,4,8.356,20.275
URBAN,Rented,1981-1990,9.298,689,1.22,268,196,4.247,2.674,4,9.913,24.504
URBAN,Rented,1991-2000,5.501,471,590,207,58,3.049,1.126,0,5.76,13.925
URBAN,Rented,2001-2005,4.926,497,290,229,33,3.202,627,48,5.018,11.243
URBAN,Rented,2006,1.902,134,86,96,5,1.382,199,0,1.941,4.104
URBAN,Rented,2007,1.763,87,56,43,8,1.342,224,3,1.79,3.524
URBAN,Rented,2008,2.261,93,60,37,11,1.751,309,0,2.286,4.618
URBAN,Rented,2009,1.902,69,57,53,10,1.457,255,1,1.934,3.86
URBAN,Rented,2010,1.07,41,29,20,6,809,165,0,1.095,2.148
URBAN,Rented,2011,505,18,15,5,4,389,68,6,514,993
URBAN,Rented,Not stated,1.603,172,203,57,67,773,331,0,1.699,4.185
URBAN,Free ,Total,9.575,1.727,2.175,306,1.712,2.545,1.065,45,9.93,18.464
URBAN,Free ,Before 1919,89,38,11,26,10,2,0,2,92,140
URBAN,Free ,1919-1945,152,91,18,13,20,5,3,2,156,263
URBAN,Free ,1946-1960,902,384,221,25,174,82,16,0,916,1.504
URBAN,Free ,1961-1970,1.061,303,286,15,221,161,74,1,1.09,1.967
URBAN,Free ,1971-1980,1.832,305,407,91,296,486,245,2,1.919,3.557
URBAN,Free ,1981-1990,2.135,216,554,74,292,619,373,7,2.221,4.311
URBAN,Free ,1991-2000,1.44,168,342,27,274,434,186,9,1.499,3.036
URBAN,Free ,2001-2005,737,112,145,16,148,236,70,10,766,1.454
URBAN,Free ,2006,229,19,34,3,40,112,20,1,247,468
URBAN,Free ,2007,218,19,29,2,47,109,12,0,219,387
URBAN,Free ,2008,225,17,33,3,56,100,14,2,232,411
URBAN,Free ,2009,231,25,44,3,50,95,11,3,235,406
URBAN,Free ,2010,171,13,27,3,47,57,20,4,173,286
URBAN,Free ,2011,75,6,12,0,19,28,10,0,78,124
URBAN,Free ,Not stated,78,11,12,5,18,19,11,2,87,150
URBAN,Other tenure status,Total,10.323,4.621,618,2.977,171,1.691,164,81,10.337,26.485
URBAN,Other tenure status,Before 1919,69,13,3,51,0,0,1,1,69,130
URBAN,Other tenure status,1919-1945,319,99,30,154,3,0,19,14,319,729
URBAN,Other tenure status,1946-1960,662,298,106,203,18,19,13,5,662,1.616
URBAN,Other tenure status,1961-1970,508,305,102,29,19,31,17,5,509,1.224
URBAN,Other tenure status,1971-1980,3.342,1.612,110,913,16,649,40,2,3.348,7.618
URBAN,Other tenure status,1981-1990,3.197,1.479,149,993,62,425,36,53,3.201,8.677
URBAN,Other tenure status,1991-2000,1.007,524,52,220,20,163,28,0,1.008,3.187
URBAN,Other tenure status,2001-2005,373,135,30,131,9,67,1,0,373,1.06
URBAN,Other tenure status,2006,271,24,8,174,4,61,0,0,272,773
URBAN,Other tenure status,2007,51,22,5,12,4,7,1,0,52,139
URBAN,Other tenure status,2008,75,19,2,26,1,26,1,0,75,210
URBAN,Other tenure status,2009,171,30,7,26,6,102,0,0,171,408
URBAN,Other tenure status,2010,100,24,4,29,9,29,4,1,100,242
URBAN,Other tenure status,2011,157,19,7,16,0,112,3,0,157,421
URBAN,Other tenure status,Not stated,21,18,3,0,0,0,0,0,21,51
URBAN,Not stated,Total,2.75,562,262,55,22,1.479,369,1,2.76,5.612
URBAN,Not stated,Before 1919,1,1,0,0,0,0,0,0,1,1
URBAN,Not stated,1919-1945,5,1,2,1,0,0,1,0,5,9
URBAN,Not stated,1946-1960,26,4,7,3,3,6,3,0,26,40
URBAN,Not stated,1961-1970,32,7,5,2,0,13,5,0,32,66
URBAN,Not stated,1971-1980,181,12,21,3,3,68,74,0,183,379
URBAN,Not stated,1981-1990,349,27,12,3,2,179,126,0,354,677
URBAN,Not stated,1991-2000,189,24,15,4,0,113,33,0,190,401
URBAN,Not stated,2001-2005,262,20,6,1,0,204,31,0,262,443
URBAN,Not stated,2006,94,1,2,0,0,82,9,0,95,142
URBAN,Not stated,2007,74,2,0,3,0,59,10,0,74,120
URBAN,Not stated,2008,112,3,4,2,1,96,6,0,112,181
URBAN,Not stated,2009,87,3,1,2,0,74,7,0,87,146
URBAN,Not stated,2010,45,0,0,0,0,43,1,1,45,55
URBAN,Not stated,2011,25,1,0,2,0,18,4,0,25,43
URBAN,Not stated,Not stated,1.268,456,187,29,13,524,59,0,1.269,2.909
RURAL,Total,Total,93.083,67.559,9.34,5.468,1.534,7.561,1.509,112,93.777,271.022
RURAL,Total,Before 1919,1.657,986,174,466,27,1,1,2,1.674,3.366
RURAL,Total,1919-1945,2.994,2.047,334,541,55,3,13,1,3.02,5.894
RURAL,Total,1946-1960,5.669,4.493,520,505,104,35,12,0,5.709,11.362
RURAL,Total,1961-1970,5.829,4.67,668,328,69,50,41,3,5.87,13.098
RURAL,Total,1971-1980,13.697,10.848,1.462,591,180,489,125,2,13.791,37.066
RURAL,Total,1981-1990,17.483,12.218,2.121,702,295,1.67,470,7,17.643,58.523
RURAL,Total,1991-2000,15.755,11.664,1.705,630,274,1.08,368,34,15.891,55.249
RURAL,Total,2001-2005,11.004,8.096,910,605,166,1.078,122,27,11.05,33.311
RURAL,Total,2006,3.392,2.382,261,222,43,446,34,4,3.414,9.797
RURAL,Total,2007,3.356,2.281,275,147,63,521,65,4,3.371,9.48
RURAL,Total,2008,3.486,2.202,254,230,78,653,61,8,3.511,9.862
RURAL,Total,2009,3.311,2.142,242,198,58,605,57,9,3.324,9.223
RURAL,Total,2010,2.489,1.714,199,138,49,330,54,5,2.5,6.868
RURAL,Total,2011,1.758,1.227,117,97,25,270,16,6,1.764,4.843
RURAL,Total,Not stated,1.203,589,98,68,48,330,70,0,1.245,3.08
RURAL,Owner occupied,Total,68.282,54.238,6.737,3.223,472,3.02,564,28,68.352,211.31
RURAL,Owner occupied,Before 1919,1.088,687,106,281,11,1,1,1,1.089,2.285
RURAL,Owner occupied,1919-1945,1.89,1.375,183,297,27,2,6,0,1.892,3.622
RURAL,Owner occupied,1946-1960,3.879,3.206,282,327,42,17,5,0,3.881,7.633
RURAL,Owner occupied,1961-1970,4.384,3.616,478,215,30,20,25,0,4.388,9.789
RURAL,Owner occupied,1971-1980,9.712,8.091,1.072,266,74,150,57,2,9.723,27.264
RURAL,Owner occupied,1981-1990,12.853,10.029,1.625,354,104,558,182,1,12.875,46.654
RURAL,Owner occupied,1991-2000,12.596,10.226,1.306,401,65,458,136,4,12.615,46.996
RURAL,Owner occupied,2001-2005,8.574,6.912,671,409,44,485,45,8,8.579,27.565
RURAL,Owner occupied,2006,2.478,1.944,193,137,16,177,11,0,2.479,7.584
RURAL,Owner occupied,2007,2.449,1.906,199,86,10,222,24,2,2.451,7.316
RURAL,Owner occupied,2008,2.539,1.858,192,152,21,292,22,2,2.54,7.69
RURAL,Owner occupied,2009,2.404,1.767,182,131,12,290,19,3,2.404,7.061
RURAL,Owner occupied,2010,1.825,1.421,146,82,7,147,19,3,1.825,5.264
RURAL,Owner occupied,2011,1.364,1.022,84,69,6,171,10,2,1.364,3.889
RURAL,Owner occupied,Not stated,247,178,18,16,3,30,2,0,247,698
RURAL,Rented,Total,11.036,4.033,1.132,989,191,3.895,777,19,11.308,26.218
RURAL,Rented,Before 1919,120,75,8,34,3,0,0,0,125,267
RURAL,Rented,1919-1945,322,194,39,76,7,1,5,0,338,820
RURAL,Rented,1946-1960,445,324,54,37,20,9,1,0,456,1.106
RURAL,Rented,1961-1970,421,289,65,20,17,19,10,1,441,1.105
RURAL,Rented,1971-1980,1.12,556,155,50,22,282,55,0,1.172,2.829
RURAL,Rented,1981-1990,2.055,479,210,177,24,931,234,0,2.117,4.659
RURAL,Rented,1991-2000,1.551,432,215,151,35,520,193,5,1.595,3.72
RURAL,Rented,2001-2005,1.505,587,134,144,19,541,72,8,1.517,3.433
RURAL,Rented,2006,581,224,35,58,3,241,19,1,587,1.398
RURAL,Rented,2007,635,211,51,48,5,282,38,0,638,1.488
RURAL,Rented,2008,646,168,34,58,14,335,36,1,650,1.438
RURAL,Rented,2009,557,150,36,51,5,280,33,2,565,1.322
RURAL,Rented,2010,336,84,26,30,9,166,21,0,340,768
RURAL,Rented,2011,175,53,11,19,3,82,6,1,181,416
RURAL,Rented,Not stated,567,207,59,36,5,206,54,0,586,1.449
RURAL,Free ,Total,6.73,3.556,1.066,776,809,323,142,58,7.057,13.033
RURAL,Free ,Before 1919,383,171,54,147,11,0,0,0,392,658
RURAL,Free ,1919-1945,576,309,90,154,20,0,2,1,584,994
RURAL,Free ,1946-1960,930,605,150,122,39,8,6,0,957,1.651
RURAL,Free ,1961-1970,603,425,99,44,21,6,6,2,619,1.115
RURAL,Free ,1971-1980,780,465,147,42,79,38,9,0,801,1.618
RURAL,Free ,1981-1990,916,387,177,64,148,88,48,4,984,1.914
RURAL,Free ,1991-2000,856,374,130,62,166,66,34,24,927,1.73
RURAL,Free ,2001-2005,570,302,91,45,95,22,5,10,599,1.108
RURAL,Free ,2006,228,134,28,24,23,12,4,3,243,479
RURAL,Free ,2007,174,80,20,13,47,9,3,2,184,366
RURAL,Free ,2008,181,79,22,16,40,16,3,5,201,361
RURAL,Free ,2009,194,96,18,13,38,21,5,3,199,362
RURAL,Free ,2010,146,58,18,16,30,8,14,2,153,280
RURAL,Free ,2011,85,31,16,7,15,14,0,2,85,151
RURAL,Free ,Not stated,108,40,6,7,37,15,3,0,129,246
RURAL,Other tenure status,Total,6.498,5.513,381,452,58,86,1,7,6.514,19.34
RURAL,Other tenure status,Before 1919,65,53,6,4,1,0,0,1,67,155
RURAL,Other tenure status,1919-1945,201,165,22,13,1,0,0,0,201,452
RURAL,Other tenure status,1946-1960,408,351,34,19,3,1,0,0,408,959
RURAL,Other tenure status,1961-1970,416,336,26,49,1,4,0,0,416,1.081
RURAL,Other tenure status,1971-1980,2.056,1.728,87,233,5,2,1,0,2.064,5.297
RURAL,Other tenure status,1981-1990,1.592,1.314,104,97,19,56,0,2,1.596,5.182
RURAL,Other tenure status,1991-2000,691,609,53,11,8,9,0,1,693,2.689
RURAL,Other tenure status,2001-2005,299,272,12,3,8,3,0,1,299,1.096
RURAL,Other tenure status,2006,86,76,5,3,1,1,0,0,86,299
RURAL,Other tenure status,2007,78,74,3,0,1,0,0,0,78,267
RURAL,Other tenure status,2008,100,90,6,1,3,0,0,0,100,338
RURAL,Other tenure status,2009,136,116,6,3,3,7,0,1,136,439
RURAL,Other tenure status,2010,170,148,8,10,3,1,0,0,170,535
RURAL,Other tenure status,2011,131,121,5,2,1,1,0,1,131,381
RURAL,Other tenure status,Not stated,69,60,4,4,0,1,0,0,69,170
RURAL,Not stated,Total,537,219,24,28,4,237,25,0,546,1.121
RURAL,Not stated,Before 1919,1,0,0,0,1,0,0,0,1,1
RURAL,Not stated,1919-1945,5,4,0,1,0,0,0,0,5,6
RURAL,Not stated,1946-1960,7,7,0,0,0,0,0,0,7,13
RURAL,Not stated,1961-1970,5,4,0,0,0,1,0,0,6,8
RURAL,Not stated,1971-1980,29,8,1,0,0,17,3,0,31,58
RURAL,Not stated,1981-1990,67,9,5,10,0,37,6,0,71,114
RURAL,Not stated,1991-2000,61,23,1,5,0,27,5,0,61,114
RURAL,Not stated,2001-2005,56,23,2,4,0,27,0,0,56,109
RURAL,Not stated,2006,19,4,0,0,0,15,0,0,19,37
RURAL,Not stated,2007,20,10,2,0,0,8,0,0,20,43
RURAL,Not stated,2008,20,7,0,3,0,10,0,0,20,35
RURAL,Not stated,2009,20,13,0,0,0,7,0,0,20,39
RURAL,Not stated,2010,12,3,1,0,0,8,0,0,12,21
RURAL,Not stated,2011,3,0,1,0,0,2,0,0,3,6
RURAL,Not stated,Not stated,212,104,11,5,3,78,11,0,214,517
(Last Updated 26/03/2013),,,,,,,,,,,,
COPYRIGHT:2013, REPUBLIC OF CYPRUS, STATISTICAL SERVICE,,,,,,,,,,
